Sec,	Num,	Datetime(utc)
0667,	034,	2017-09-23 05:07:00
0668,	083,	2017-09-23 05:08:00
0669,	072,	2017-09-23 05:09:00
0670,	083,	2017-09-23 05:10:00
0671,	043,	2017-09-23 05:11:00
0672,	061,	2017-09-23 05:12:00
0673,	056,	2017-09-23 05:13:00
0674,	042,	2017-09-23 05:14:00
0675,	043,	2017-09-23 05:15:00
0676,	029,	2017-09-23 05:16:00
0677,	041,	2017-09-23 05:17:00
0678,	025,	2017-09-23 05:18:00
0679,	027,	2017-09-23 05:19:00
0680,	046,	2017-09-23 05:20:00
0681,	058,	2017-09-23 05:21:00
0682,	038,	2017-09-23 05:22:00
0683,	056,	2017-09-23 05:23:00
0684,	040,	2017-09-23 05:24:00
0685,	029,	2017-09-23 05:25:00
0686,	063,	2017-09-23 05:26:00
0687,	020,	2017-09-23 05:27:00
0688,	045,	2017-09-23 05:28:00
0689,	051,	2017-09-23 05:29:00
0690,	059,	2017-09-23 05:30:00
0691,	056,	2017-09-23 05:31:00
0692,	040,	2017-09-23 05:32:00
0693,	052,	2017-09-23 05:33:00
